연령군,성별,연령구간,항목코드,항목,n,p5,p10,p25,p50,p75,p90,p95,평균,표준편차
성인,F,19~24,item_f018,BMI,7014,17.4,18.0,19.1,20.8,22.9,25.7,27.7,21.42,3.26
성인,F,25~29,item_f018,BMI,2817,17.6,18.1,19.1,20.5,22.4,24.8,26.9,21.14,2.99
성인,F,30~34,item_f018,BMI,1580,17.9,18.8,20.0,21.7,24.1,27.0,29.1,22.38,3.51
성인,F,35~39,item_f018,BMI,1763,18.5,19.1,20.3,22.0,24.2,26.88,28.9,22.59,3.26
성인,F,40~44,item_f018,BMI,2036,18.7,19.5,20.7,22.4,24.73,27.1,28.9,22.94,3.2
성인,F,45~49,item_f018,BMI,2228,19.0,19.8,21.2,23.0,25.3,27.8,29.6,23.46,3.26
성인,F,50~54,item_f018,BMI,2655,19.2,20.1,21.4,23.1,25.2,27.4,29.0,23.49,3.01
성인,F,55~59,item_f018,BMI,3075,19.5,20.3,21.8,23.4,25.4,27.8,29.43,23.79,3.03
성인,F,60~64,item_f018,BMI,3257,19.6,20.4,22.0,23.7,25.7,27.8,29.0,23.97,2.93
성인,F,19~24,item_f019,교차윗몸일으키기,6960,8.0,13.0,22.0,30.0,38.0,46.0,51.0,29.88,12.63
성인,F,25~29,item_f019,교차윗몸일으키기,2774,10.0,14.0,21.0,29.0,36.0,42.0,47.0,28.46,10.98
성인,F,30~34,item_f019,교차윗몸일으키기,1531,6.0,11.0,19.0,27.0,35.0,41.0,45.0,26.59,11.71
성인,F,35~39,item_f019,교차윗몸일으키기,1729,7.0,11.0,19.0,26.0,33.0,40.0,44.0,25.82,11.22
성인,F,40~44,item_f019,교차윗몸일으키기,1992,5.0,10.0,18.0,25.0,32.0,39.0,43.0,24.69,11.03
성인,F,45~49,item_f019,교차윗몸일으키기,2170,3.0,7.0,15.0,23.0,30.0,37.0,41.0,22.63,11.18
성인,F,50~54,item_f019,교차윗몸일으키기,2595,1.0,3.0,10.0,18.0,26.0,34.0,38.0,18.63,11.21
성인,F,55~59,item_f019,교차윗몸일으키기,2990,0.0,1.0,7.0,15.0,23.0,30.0,34.0,15.65,10.65
성인,F,60~64,item_f019,교차윗몸일으키기,3144,0.0,0.0,5.0,12.0,19.0,26.0,31.0,12.65,9.78
성인,F,19~24,item_f020,반복점프,3587,10.0,13.0,17.0,23.0,31.0,39.0,44.0,24.86,11.38
성인,F,25~29,item_f020,반복점프,1090,9.0,12.0,16.0,22.0,28.0,33.0,38.0,22.49,9.54
성인,F,30~34,item_f020,반복점프,682,7.0,9.1,14.0,20.0,26.0,33.0,38.0,20.71,10.37
성인,F,35~39,item_f020,반복점프,928,7.35,10.0,13.0,18.0,25.0,33.0,40.0,20.09,9.96
성인,F,40~44,item_f020,반복점프,1028,6.0,8.0,12.0,17.0,24.0,31.0,38.0,18.63,10.29
성인,F,45~49,item_f020,반복점프,1136,5.0,8.0,11.0,16.0,22.0,30.0,34.0,17.37,9.6
성인,F,50~54,item_f020,반복점프,1307,4.0,7.0,10.0,14.0,20.0,25.4,30.0,15.15,8.2
성인,F,55~59,item_f020,반복점프,1582,3.0,6.0,9.0,12.0,17.0,23.0,27.0,13.66,7.82
성인,F,60~64,item_f020,반복점프,1629,2.0,5.0,8.0,10.0,14.0,19.0,23.0,11.41,7.05
성인,F,19~24,item_f028,상대악력,7013,33.9,37.1,42.3,47.7,53.4,58.4,61.7,47.81,8.51
성인,F,25~29,item_f028,상대악력,2817,34.4,37.8,42.9,48.3,53.6,59.2,62.62,48.37,8.65
성인,F,30~34,item_f028,상대악력,1578,31.1,35.0,40.4,46.9,52.8,58.5,61.81,46.7,9.52
성인,F,35~39,item_f028,상대악력,1763,32.51,35.6,40.8,46.4,52.6,57.5,61.0,46.62,8.84
성인,F,40~44,item_f028,상대악력,2036,32.2,35.1,40.0,46.0,52.1,57.6,60.55,46.09,8.81
성인,F,45~49,item_f028,상대악력,2226,30.7,33.9,39.0,44.7,50.5,55.9,59.1,44.81,8.81
성인,F,50~54,item_f028,상대악력,2652,30.7,33.9,38.6,43.95,49.32,54.5,57.7,44.03,8.3
성인,F,55~59,item_f028,상대악력,3072,30.3,33.0,37.8,43.0,48.4,53.2,56.4,43.13,8.06
성인,F,60~64,item_f028,상대악력,3251,29.7,32.6,37.1,42.0,47.4,52.3,55.2,42.34,7.81
성인,F,19~24,item_f001,신장,7014,154.2,156.3,159.5,163.1,166.57,169.7,171.4,162.98,5.31
성인,F,25~29,item_f001,신장,2817,154.0,156.2,159.7,163.3,166.8,170.0,172.0,163.2,5.48
성인,F,30~34,item_f001,신장,1580,153.0,155.09,158.0,161.9,165.4,169.1,170.91,161.81,5.74
성인,F,35~39,item_f001,신장,1763,152.62,154.92,157.7,161.4,164.8,168.18,170.0,161.37,5.43
성인,F,40~44,item_f001,신장,2036,152.0,154.0,157.1,160.2,163.7,167.0,169.0,160.4,5.31
성인,F,45~49,item_f001,신장,2228,150.44,152.5,155.88,159.3,162.62,165.9,167.9,159.19,5.38
성인,F,50~54,item_f001,신장,2655,149.9,151.8,154.6,158.0,161.4,164.66,166.5,158.05,5.2
성인,F,55~59,item_f001,신장,3075,148.5,150.4,153.4,156.9,160.0,163.1,164.9,156.74,5.08
성인,F,60~64,item_f001,신장,3257,147.88,149.6,152.2,155.6,159.0,162.2,164.0,155.72,5.01
성인,F,19~24,item_f008,악력(우),7013,18.7,20.3,23.2,26.3,29.7,32.7,34.9,26.5,5.06
성인,F,25~29,item_f008,악력(우),2816,19.0,20.7,23.4,26.4,29.6,32.8,34.9,26.57,4.94
성인,F,30~34,item_f008,악력(우),1577,17.98,20.0,23.0,26.4,29.9,33.3,35.34,26.5,5.32
성인,F,35~39,item_f008,악력(우),1762,18.9,20.5,23.5,26.6,29.6,32.79,34.79,26.64,5.01
성인,F,40~44,item_f008,악력(우),2036,18.3,20.1,23.1,26.4,29.6,32.8,34.4,26.38,4.97
성인,F,45~49,item_f008,악력(우),2224,17.52,19.63,22.6,25.9,29.0,31.8,33.68,25.77,5.0
성인,F,50~54,item_f008,악력(우),2651,16.95,19.0,21.9,25.1,28.15,30.7,32.4,24.96,4.78
성인,F,55~59,item_f008,악력(우),3071,17.1,18.8,21.5,24.5,27.4,30.0,31.5,24.4,4.55
성인,F,60~64,item_f008,악력(우),3246,16.7,18.35,20.9,23.8,26.6,29.3,31.1,23.8,4.5
성인,F,19~24,item_f007,악력(좌),7013,17.1,18.82,21.4,24.5,27.6,30.6,32.7,24.62,4.8
성인,F,25~29,item_f007,악력(좌),2816,17.4,19.1,21.6,24.5,27.8,30.75,33.0,24.79,4.81
성인,F,30~34,item_f007,악력(좌),1578,16.7,18.4,21.4,24.8,28.4,31.7,33.3,24.89,5.29
성인,F,35~39,item_f007,악력(좌),1762,17.5,19.3,21.9,25.0,28.0,30.7,33.0,25.04,4.83
성인,F,40~44,item_f007,악력(좌),2035,17.1,19.14,21.9,25.0,27.9,30.7,32.5,24.93,4.68
성인,F,45~49,item_f007,악력(좌),2225,16.7,18.6,21.4,24.4,27.4,30.1,31.6,24.37,4.78
성인,F,50~54,item_f007,악력(좌),2652,16.1,18.0,20.8,23.8,26.8,29.3,30.9,23.76,4.7
성인,F,55~59,item_f007,악력(좌),3069,16.4,18.0,20.3,23.2,25.8,28.5,30.2,23.16,4.37
성인,F,60~64,item_f007,악력(좌),3249,15.7,17.5,19.9,22.6,25.2,28.0,30.0,22.65,4.33
성인,F,19~24,item_f012,앉아윗몸앞으로굽히기,6971,-0.3,4.1,10.9,16.6,21.7,25.7,27.85,15.59,8.69
성인,F,25~29,item_f012,앉아윗몸앞으로굽히기,2777,0.0,4.66,11.0,16.8,21.5,25.4,27.4,15.63,8.51
성인,F,30~34,item_f012,앉아윗몸앞으로굽히기,1532,-2.75,2.3,8.9,15.3,20.5,24.4,27.0,14.15,9.1
성인,F,35~39,item_f012,앉아윗몸앞으로굽히기,1729,-0.92,3.1,9.9,15.7,20.6,24.3,26.26,14.53,8.53
성인,F,40~44,item_f012,앉아윗몸앞으로굽히기,1994,-0.67,3.0,9.22,15.0,20.3,24.1,26.3,14.15,8.42
성인,F,45~49,item_f012,앉아윗몸앞으로굽히기,2175,0.0,3.5,9.4,15.1,20.0,23.7,26.1,14.26,8.12
성인,F,50~54,item_f012,앉아윗몸앞으로굽히기,2612,1.2,4.5,10.2,15.5,20.11,23.4,25.4,14.68,7.65
성인,F,55~59,item_f012,앉아윗몸앞으로굽히기,3008,2.8,6.2,11.3,16.5,20.8,24.1,26.1,15.67,7.28
성인,F,60~64,item_f012,앉아윗몸앞으로굽히기,3180,2.6,6.1,11.4,16.4,20.9,24.3,26.0,15.61,7.47
성인,F,19~24,item_f021,왕복오래달리기,3559,10.79,11.22,11.97,12.8,13.72,14.83,15.78,13.0,1.72
성인,F,25~29,item_f021,왕복오래달리기,1308,11.11,11.56,12.21,12.91,13.81,14.84,15.61,13.09,1.85
성인,F,30~34,item_f021,왕복오래달리기,822,11.3,11.89,12.6,13.44,14.46,15.63,16.62,13.6,2.1
성인,F,35~39,item_f021,왕복오래달리기,1163,11.57,12.04,12.69,13.45,14.48,15.61,16.4,13.61,1.74
성인,F,40~44,item_f021,왕복오래달리기,1342,11.85,12.28,12.9,13.75,14.67,15.81,16.65,13.89,1.86
성인,F,45~49,item_f021,왕복오래달리기,1476,11.92,12.4,13.2,14.1,15.15,16.41,17.38,14.23,2.29
성인,F,50~54,item_f021,왕복오래달리기,1609,12.4,12.81,13.5,14.36,15.51,16.97,18.1,14.59,2.39
성인,F,55~59,item_f021,왕복오래달리기,1948,12.71,13.22,14.1,15.06,16.31,17.9,19.22,15.26,2.62
성인,F,60~64,item_f021,왕복오래달리기,2060,13.25,13.86,14.78,15.9,17.29,19.22,21.07,16.16,2.83
성인,F,19~24,item_f022,제자리멀리뛰기,5712,115.0,123.0,139.0,158.0,173.0,186.0,195.0,156.05,25.45
성인,F,25~29,item_f022,제자리멀리뛰기,2105,114.0,125.0,139.0,155.0,169.0,181.0,189.0,153.28,24.22
성인,F,30~34,item_f022,제자리멀리뛰기,1166,105.0,114.5,130.0,147.0,163.0,176.0,184.75,145.73,26.21
성인,F,35~39,item_f022,제자리멀리뛰기,1452,110.0,119.0,132.0,148.0,162.0,174.0,181.0,146.57,23.16
성인,F,40~44,item_f022,제자리멀리뛰기,1716,106.0,115.0,130.0,145.0,160.0,170.0,178.0,143.46,23.31
성인,F,45~49,item_f022,제자리멀리뛰기,1856,100.0,110.0,124.0,140.0,155.0,167.0,174.0,138.61,24.48
성인,F,50~54,item_f022,제자리멀리뛰기,2183,89.0,101.0,117.5,134.0,148.0,160.0,165.0,131.06,24.5
성인,F,55~59,item_f022,제자리멀리뛰기,2606,75.0,90.0,108.0,124.0,140.0,151.0,159.0,121.95,25.06
성인,F,60~64,item_f022,제자리멀리뛰기,2708,64.35,78.0,98.0,114.0,130.0,144.0,152.0,112.72,25.71
성인,F,19~24,item_f002,체중,7014,45.58,47.2,50.9,55.3,61.0,68.37,74.2,56.93,9.14
성인,F,25~29,item_f002,체중,2817,45.7,47.7,50.8,54.8,60.0,66.69,72.02,56.32,8.4
성인,F,30~34,item_f002,체중,1580,46.1,48.0,51.88,57.0,63.1,71.51,77.8,58.68,10.09
성인,F,35~39,item_f002,체중,1763,46.91,48.9,52.3,57.6,63.55,71.2,76.59,58.87,9.2
성인,F,40~44,item_f002,체중,2036,47.3,49.67,53.18,57.8,63.8,70.5,75.0,59.07,8.71
성인,F,45~49,item_f002,체중,2228,47.4,49.8,53.5,58.36,64.5,70.64,75.5,59.45,8.61
성인,F,50~54,item_f002,체중,2655,47.4,49.6,53.2,57.8,63.48,68.86,73.3,58.7,8.08
성인,F,55~59,item_f002,체중,3075,47.3,49.4,53.1,57.5,62.7,68.3,72.83,58.45,7.88
성인,F,60~64,item_f002,체중,3257,46.79,49.01,53.02,57.5,62.7,67.8,71.5,58.13,7.57
성인,F,19~24,item_f003,체지방률,7000,19.1,21.2,24.7,28.8,33.1,37.1,39.7,28.94,6.33
성인,F,25~29,item_f003,체지방률,2808,19.2,21.0,24.0,27.8,32.0,36.1,39.0,28.21,6.11
성인,F,30~34,item_f003,체지방률,1560,18.9,20.9,24.8,29.0,34.0,38.4,41.9,29.52,6.96
성인,F,35~39,item_f003,체지방률,1750,18.64,20.6,24.8,29.4,34.0,37.91,40.55,29.38,6.71
성인,F,40~44,item_f003,체지방률,2026,19.62,21.6,25.6,30.1,34.5,38.4,40.3,29.97,6.54
성인,F,45~49,item_f003,체지방률,2202,20.2,22.5,26.52,31.1,35.3,39.1,41.69,30.95,6.5
성인,F,50~54,item_f003,체지방률,2641,21.73,23.9,27.8,32.0,35.7,39.2,41.5,31.74,6.0
성인,F,55~59,item_f003,체지방률,3051,22.1,25.0,28.7,32.8,36.55,40.1,42.45,32.55,6.16
성인,F,60~64,item_f003,체지방률,3229,22.9,25.3,29.4,33.5,37.1,40.5,42.86,33.15,6.07
성인,M,19~24,item_f018,BMI,11249,19.2,20.2,21.8,23.6,25.8,28.5,30.3,24.05,3.37
성인,M,25~29,item_f018,BMI,4305,20.3,21.3,22.8,24.5,26.7,29.3,31.3,24.98,3.29
성인,M,30~34,item_f018,BMI,3109,20.9,21.9,23.4,25.2,27.4,29.9,31.6,25.59,3.25
성인,M,35~39,item_f018,BMI,2386,21.1,22.05,23.6,25.4,27.6,29.9,31.68,25.73,3.26
성인,M,40~44,item_f018,BMI,2073,20.8,22.0,23.5,25.3,27.5,29.8,31.24,25.63,3.18
성인,M,45~49,item_f018,BMI,1898,20.9,21.9,23.5,25.2,27.2,29.1,30.41,25.37,2.92
성인,M,50~54,item_f018,BMI,1740,20.8,21.9,23.5,25.1,27.0,28.91,30.4,25.3,2.85
성인,M,55~59,item_f018,BMI,1762,20.9,21.8,23.2,24.9,26.7,28.5,29.79,25.01,2.73
성인,M,60~64,item_f018,BMI,2735,20.5,21.4,23.0,24.7,26.4,28.0,29.2,24.73,2.66
성인,M,19~24,item_f019,교차윗몸일으키기,11166,25.0,30.0,38.0,46.0,54.0,60.0,63.0,45.2,11.68
성인,M,25~29,item_f019,교차윗몸일으키기,4260,25.0,30.0,37.0,45.0,52.0,58.0,61.0,44.22,11.51
성인,M,30~34,item_f019,교차윗몸일으키기,3053,24.0,28.0,35.0,44.0,50.0,57.0,60.0,42.66,11.31
성인,M,35~39,item_f019,교차윗몸일으키기,2342,20.0,26.0,33.0,40.0,47.0,54.0,58.0,40.04,11.59
성인,M,40~44,item_f019,교차윗몸일으키기,2028,18.0,24.0,32.0,39.0,45.0,52.0,56.0,38.14,11.46
성인,M,45~49,item_f019,교차윗몸일으키기,1853,17.6,22.0,29.0,36.0,43.0,49.0,52.0,35.5,10.85
성인,M,50~54,item_f019,교차윗몸일으키기,1701,15.0,20.0,26.0,33.0,40.0,46.0,50.0,32.69,10.84
성인,M,55~59,item_f019,교차윗몸일으키기,1723,11.0,16.0,22.0,30.0,36.0,42.0,46.0,29.26,10.82
성인,M,60~64,item_f019,교차윗몸일으키기,2684,10.0,14.0,20.0,27.0,34.0,40.0,43.0,27.0,10.22
성인,M,19~24,item_f020,반복점프,6979,16.0,23.0,34.0,47.0,62.0,71.0,80.0,47.82,19.47
성인,M,25~29,item_f020,반복점프,2159,15.0,22.0,32.0,43.0,54.0,63.0,72.0,42.91,17.41
성인,M,30~34,item_f020,반복점프,1189,11.0,19.0,29.0,40.0,50.0,60.0,67.0,39.22,16.6
성인,M,35~39,item_f020,반복점프,907,11.0,17.0,26.0,36.0,46.0,56.0,63.0,36.54,16.28
성인,M,40~44,item_f020,반복점프,832,10.0,15.0,23.75,33.0,44.0,54.0,62.0,34.29,15.89
성인,M,45~49,item_f020,반복점프,768,8.0,14.0,22.0,30.0,40.0,50.0,56.65,31.06,14.47
성인,M,50~54,item_f020,반복점프,686,5.0,12.0,18.0,25.0,35.0,44.0,51.0,26.87,13.91
성인,M,55~59,item_f020,반복점프,804,7.0,11.0,16.0,22.0,32.0,42.0,48.0,24.65,12.83
성인,M,60~64,item_f020,반복점프,1098,7.0,10.0,14.0,19.0,25.0,31.0,35.0,19.68,9.34
성인,M,19~24,item_f028,상대악력,11248,43.9,47.8,54.1,61.1,68.0,74.3,78.1,61.0,10.4
성인,M,25~29,item_f028,상대악력,4305,43.9,48.3,54.5,61.5,68.0,74.2,78.28,61.13,10.47
성인,M,30~34,item_f028,상대악력,3105,44.0,48.1,54.4,60.7,67.7,73.96,77.4,60.78,10.36
성인,M,35~39,item_f028,상대악력,2386,43.42,47.45,53.9,60.4,67.17,73.4,77.85,60.45,10.32
성인,M,40~44,item_f028,상대악력,2073,43.88,48.2,53.8,60.2,67.3,74.0,78.04,60.51,10.34
성인,M,45~49,item_f028,상대악력,1898,43.77,47.87,53.5,60.1,66.2,72.3,76.11,59.83,9.75
성인,M,50~54,item_f028,상대악력,1740,43.3,46.8,52.7,59.0,65.1,70.01,73.2,58.72,9.36
성인,M,55~59,item_f028,상대악력,1761,42.9,46.3,51.8,58.0,64.4,69.4,72.8,57.91,9.29
성인,M,60~64,item_f028,상대악력,2735,42.9,46.3,51.7,57.6,63.5,69.26,72.73,57.68,9.15
성인,M,19~24,item_f001,신장,11249,165.6,167.6,170.9,174.7,178.5,182.0,184.1,174.68,5.65
성인,M,25~29,item_f001,신장,4305,165.82,167.7,171.0,174.6,178.6,181.8,183.9,174.7,5.5
성인,M,30~34,item_f001,신장,3109,165.5,167.6,170.7,174.4,178.4,181.9,184.0,174.57,5.54
성인,M,35~39,item_f001,신장,2386,165.2,167.25,170.4,174.3,178.6,182.0,184.0,174.46,5.75
성인,M,40~44,item_f001,신장,2073,164.3,166.7,170.0,173.8,177.6,180.8,183.0,173.64,5.63
성인,M,45~49,item_f001,신장,1898,163.2,165.5,169.0,172.2,176.0,179.2,181.3,172.32,5.53
성인,M,50~54,item_f001,신장,1740,162.19,164.4,167.7,171.45,174.8,178.0,180.1,171.22,5.51
성인,M,55~59,item_f001,신장,1762,160.6,162.2,165.7,169.6,173.2,176.6,178.4,169.49,5.66
성인,M,60~64,item_f001,신장,2735,159.0,161.1,164.5,168.4,171.9,175.4,177.33,168.21,5.61
성인,M,19~24,item_f008,악력(우),11246,31.4,34.3,38.7,43.4,48.4,53.1,56.1,43.51,7.51
성인,M,25~29,item_f008,악력(우),4302,32.7,35.8,40.3,45.6,50.7,55.4,58.3,45.4,7.82
성인,M,30~34,item_f008,악력(우),3104,33.2,36.9,41.3,46.2,51.0,55.8,59.0,46.04,7.72
성인,M,35~39,item_f008,악력(우),2383,32.91,36.1,41.3,46.2,51.5,56.4,59.2,46.08,7.86
성인,M,40~44,item_f008,악력(우),2073,33.36,36.12,40.6,45.4,50.7,55.5,58.04,45.48,7.61
성인,M,45~49,item_f008,악력(우),1897,31.6,35.0,39.8,44.3,48.5,53.04,55.5,43.97,7.24
성인,M,50~54,item_f008,악력(우),1740,31.4,33.8,38.2,42.5,46.9,50.8,53.3,42.43,6.97
성인,M,55~59,item_f008,악력(우),1760,29.89,32.3,36.2,40.4,45.1,48.8,51.1,40.53,6.72
성인,M,60~64,item_f008,악력(우),2732,28.4,31.1,35.2,39.4,43.8,47.6,50.04,39.34,6.63
성인,M,19~24,item_f007,악력(좌),11245,29.7,32.1,36.2,40.9,45.4,50.0,53.1,40.89,7.08
성인,M,25~29,item_f007,악력(좌),4302,30.5,33.4,38.0,42.9,48.1,52.4,55.4,42.82,7.62
성인,M,30~34,item_f007,악력(좌),3102,31.6,34.4,39.2,44.0,48.7,53.0,56.4,43.74,7.42
성인,M,35~39,item_f007,악력(좌),2386,31.0,34.3,38.8,43.7,48.48,53.2,55.88,43.57,7.41
성인,M,40~44,item_f007,악력(좌),2070,30.99,33.9,38.6,43.2,48.0,52.4,54.9,43.1,7.37
성인,M,45~49,item_f007,악력(좌),1897,30.0,33.1,37.4,42.0,46.3,50.54,52.72,41.78,6.99
성인,M,50~54,item_f007,악력(좌),1738,29.4,32.5,36.1,40.5,44.6,48.7,51.11,40.36,6.71
성인,M,55~59,item_f007,악력(좌),1758,27.88,30.27,34.3,38.7,43.1,46.93,49.3,38.53,6.93
성인,M,60~64,item_f007,악력(좌),2734,27.4,29.9,33.62,37.7,41.6,45.5,47.7,37.53,6.31
성인,M,19~24,item_f012,앉아윗몸앞으로굽히기,11176,-7.62,-2.7,4.5,11.0,16.9,21.1,23.7,10.06,9.34
성인,M,25~29,item_f012,앉아윗몸앞으로굽히기,4261,-8.3,-3.9,3.9,10.3,15.9,20.0,22.3,9.21,9.28
성인,M,30~34,item_f012,앉아윗몸앞으로굽히기,3056,-10.0,-5.0,3.7,10.2,15.5,19.7,22.3,8.83,9.54
성인,M,35~39,item_f012,앉아윗몸앞으로굽히기,2349,-9.7,-5.0,2.9,9.5,15.0,19.02,21.36,8.39,9.29
성인,M,40~44,item_f012,앉아윗몸앞으로굽히기,2036,-7.9,-3.8,3.68,9.55,15.3,19.4,22.0,8.82,8.91
성인,M,45~49,item_f012,앉아윗몸앞으로굽히기,1856,-7.7,-3.4,3.5,9.1,14.43,18.9,21.5,8.43,8.64
성인,M,50~54,item_f012,앉아윗몸앞으로굽히기,1706,-7.0,-3.0,3.7,9.8,14.6,18.6,21.0,8.72,8.46
성인,M,55~59,item_f012,앉아윗몸앞으로굽히기,1728,-7.96,-4.0,3.38,9.15,14.5,19.0,20.93,8.33,8.68
성인,M,60~64,item_f012,앉아윗몸앞으로굽히기,2688,-5.5,-1.7,4.2,9.45,14.6,18.3,20.8,8.86,8.06
성인,M,19~24,item_f021,왕복오래달리기,6434,9.17,9.42,9.9,10.51,11.25,12.2,13.04,10.77,1.57
성인,M,25~29,item_f021,왕복오래달리기,2303,9.44,9.72,10.13,10.72,11.48,12.47,13.45,10.99,1.56
성인,M,30~34,item_f021,왕복오래달리기,1329,9.61,9.84,10.36,10.97,11.83,12.97,13.9,11.28,1.85
성인,M,35~39,item_f021,왕복오래달리기,1083,9.86,10.12,10.57,11.18,12.01,13.07,14.02,11.43,1.71
성인,M,40~44,item_f021,왕복오래달리기,949,10.0,10.24,10.78,11.44,12.4,13.5,14.38,11.72,1.93
성인,M,45~49,item_f021,왕복오래달리기,893,10.39,10.63,11.11,11.76,12.79,14.18,15.09,12.06,2.08
성인,M,50~54,item_f021,왕복오래달리기,805,10.49,10.79,11.36,12.15,13.23,14.34,15.22,12.3,2.25
성인,M,55~59,item_f021,왕복오래달리기,890,10.91,11.24,11.84,12.68,13.72,15.0,16.13,12.93,2.14
성인,M,60~64,item_f021,왕복오래달리기,1281,11.44,11.79,12.4,13.2,14.47,15.86,17.2,13.62,2.21
성인,M,19~24,item_f022,제자리멀리뛰기,9408,167.0,180.0,200.0,218.0,234.0,249.0,257.0,214.83,29.31
성인,M,25~29,item_f022,제자리멀리뛰기,3474,165.0,178.0,197.0,215.0,230.0,244.0,251.0,211.67,29.06
성인,M,30~34,item_f022,제자리멀리뛰기,2376,165.0,176.0,195.0,213.0,227.0,240.0,248.0,209.23,28.98
성인,M,35~39,item_f022,제자리멀리뛰기,1884,163.0,175.0,191.0,210.0,224.0,235.7,242.0,205.85,26.78
성인,M,40~44,item_f022,제자리멀리뛰기,1638,155.0,168.7,187.0,205.0,219.0,230.0,239.0,200.32,29.05
성인,M,45~49,item_f022,제자리멀리뛰기,1541,150.0,163.0,180.0,197.0,210.0,220.0,227.0,192.37,27.67
성인,M,50~54,item_f022,제자리멀리뛰기,1372,145.55,157.0,173.0,188.0,201.0,212.0,219.0,184.44,27.62
성인,M,55~59,item_f022,제자리멀리뛰기,1456,127.0,148.0,164.0,178.0,192.0,204.5,212.0,175.59,26.42
성인,M,60~64,item_f022,제자리멀리뛰기,2245,119.2,135.0,156.0,170.0,184.0,195.0,202.0,167.11,26.24
성인,M,19~24,item_f002,체중,11249,57.1,60.2,65.5,72.2,80.0,88.9,94.88,73.52,11.52
성인,M,25~29,item_f002,체중,4305,60.5,63.4,68.7,75.0,82.5,90.9,97.08,76.32,11.07
성인,M,30~34,item_f002,체중,3109,61.7,65.1,70.6,76.9,84.6,93.0,98.93,78.11,11.07
성인,M,35~39,item_f002,체중,2386,62.02,65.35,70.83,77.5,84.7,92.8,99.2,78.43,11.19
성인,M,40~44,item_f002,체중,2073,60.66,64.0,70.0,76.5,84.1,91.86,97.5,77.45,11.07
성인,M,45~49,item_f002,체중,1898,60.59,63.6,69.1,75.0,81.4,88.4,92.81,75.43,10.03
성인,M,50~54,item_f002,체중,1740,59.4,62.6,67.7,73.4,80.0,87.3,92.2,74.29,9.85
성인,M,55~59,item_f002,체중,1762,57.61,60.76,65.61,71.3,77.9,83.8,87.49,71.94,9.14
성인,M,60~64,item_f002,체중,2735,55.9,59.3,64.1,69.8,75.9,81.2,85.2,70.08,8.96
성인,M,19~24,item_f003,체지방률,11236,9.6,11.2,14.3,18.5,23.4,28.8,31.9,19.35,6.86
성인,M,25~29,item_f003,체지방률,4298,11.3,13.1,16.6,20.7,25.4,30.7,33.41,21.34,6.75
성인,M,30~34,item_f003,체지방률,3096,12.2,14.2,18.1,22.4,26.6,31.5,34.3,22.6,6.65
성인,M,35~39,item_f003,체지방률,2378,13.2,15.4,18.8,23.0,27.4,31.8,34.2,23.26,6.38
성인,M,40~44,item_f003,체지방률,2064,12.82,15.2,18.9,22.6,27.0,31.5,33.78,23.0,6.28
성인,M,45~49,item_f003,체지방률,1889,13.44,15.9,19.6,23.4,27.2,30.82,33.16,23.42,5.97
성인,M,50~54,item_f003,체지방률,1729,14.2,16.8,19.9,23.5,27.3,30.9,33.1,23.64,5.62
성인,M,55~59,item_f003,체지방률,1752,14.3,16.3,19.9,23.7,27.3,30.9,33.2,23.69,5.7
성인,M,60~64,item_f003,체지방률,2715,14.67,16.9,20.4,24.3,27.9,31.6,33.7,24.21,5.82
성장기,F,11,item_f018,BMI,3202,14.7,15.4,16.8,18.8,21.7,24.7,26.6,19.6,3.71
성장기,F,12,item_f018,BMI,1564,15.42,16.2,17.7,19.6,22.3,25.7,27.6,20.36,3.81
성장기,F,13,item_f018,BMI,3724,16.0,16.83,18.3,20.2,22.8,25.9,28.08,20.92,3.74
성장기,F,14,item_f018,BMI,2681,16.6,17.4,18.8,20.8,23.3,26.3,28.8,21.46,3.76
성장기,F,15,item_f018,BMI,3856,17.1,17.9,19.3,21.1,23.8,27.2,30.3,21.98,3.97
성장기,F,16,item_f018,BMI,4311,17.5,18.3,19.7,21.7,24.2,27.6,30.5,22.39,3.91
성장기,F,17,item_f018,BMI,3917,17.6,18.3,19.7,21.6,24.2,27.7,30.3,22.42,3.9
성장기,F,18,item_f018,BMI,2012,17.76,18.5,20.0,22.0,24.6,27.8,29.74,22.66,3.83
성장기,F,11,item_f020,반복점프,3102,18.0,23.0,32.0,47.0,62.0,80.0,91.0,49.0,21.76
성장기,F,12,item_f020,반복점프,1427,13.0,17.0,26.0,44.0,61.0,80.0,91.7,45.93,23.39
성장기,F,13,item_f020,반복점프,3502,11.0,12.0,16.0,22.0,31.0,40.0,46.0,24.74,11.65
성장기,F,14,item_f020,반복점프,2411,10.0,12.0,17.0,22.0,31.0,40.0,45.0,24.5,10.92
성장기,F,15,item_f020,반복점프,3505,10.0,12.0,16.0,23.0,32.0,42.0,50.0,25.06,12.35
성장기,F,16,item_f020,반복점프,4017,9.0,12.0,16.0,23.0,32.0,42.0,50.0,25.05,12.54
성장기,F,17,item_f020,반복점프,3593,9.0,11.0,16.0,22.0,30.0,41.0,50.0,24.21,12.16
성장기,F,18,item_f020,반복점프,1582,8.0,11.0,15.0,21.0,30.0,40.0,45.0,23.41,12.11
성장기,F,11,item_f028,상대악력,3202,27.51,30.1,35.1,41.1,46.9,52.5,56.0,41.27,8.79
