연령군,성별,연령구간,항목코드,항목,n,p5,p10,p25,p50,p75,p90,p95,평균,표준편차
성장기,M,17,item_f018,BMI,5080,18.0,18.9,20.6,22.9,26.2,30.1,32.7,23.78,4.41
성장기,M,18,item_f018,BMI,4093,18.4,19.3,21.1,23.4,26.4,29.6,31.9,24.02,4.06
성장기,M,11,item_f020,반복점프,3253,16.0,23.0,37.0,54.0,78.0,100.0,105.0,57.78,26.92
성장기,M,12,item_f020,반복점프,1738,12.0,18.0,30.0,52.0,79.0,104.0,106.0,55.25,29.96
성장기,M,13,item_f020,반복점프,4319,12.0,16.0,24.0,36.0,51.0,66.0,73.0,39.05,19.39
성장기,M,14,item_f020,반복점프,3443,14.0,20.0,30.0,43.0,61.0,75.0,86.0,46.36,21.92
성장기,M,15,item_f020,반복점프,3762,16.0,21.0,31.0,45.0,62.0,75.0,83.0,47.34,21.84
성장기,M,16,item_f020,반복점프,4317,12.0,19.0,30.0,44.0,61.0,74.0,80.0,45.44,21.27
성장기,M,17,item_f020,반복점프,4757,11.0,19.0,30.0,44.0,61.0,75.0,81.0,45.51,21.52
성장기,M,18,item_f020,반복점프,3211,12.0,20.0,30.0,43.0,61.0,72.0,80.0,44.89,20.61
성장기,M,11,item_f028,상대악력,3354,25.7,28.9,33.8,40.4,47.3,54.17,58.1,41.01,9.84
성장기,M,12,item_f028,상대악력,1895,28.07,31.24,37.25,44.8,53.25,61.1,65.93,45.65,11.61
성장기,M,13,item_f028,상대악력,4554,31.77,35.7,42.2,50.7,59.3,66.8,71.63,51.05,12.13
성장기,M,14,item_f028,상대악력,3672,35.0,39.0,46.5,55.1,63.6,70.5,74.7,54.93,12.19
성장기,M,15,item_f028,상대악력,4102,37.7,41.8,48.8,57.3,65.8,73.5,78.3,57.43,12.24
성장기,M,16,item_f028,상대악력,4571,38.3,42.3,50.1,58.5,66.75,74.0,79.0,58.35,12.17
성장기,M,17,item_f028,상대악력,5078,39.6,43.57,51.0,59.3,67.38,74.9,79.0,59.21,11.94
성장기,M,18,item_f028,상대악력,4093,40.5,45.0,51.9,59.9,67.7,74.6,79.0,59.79,11.48
성장기,M,11,item_f001,신장,3354,136.6,139.2,143.0,148.0,153.4,158.3,161.6,148.37,7.6
성장기,M,12,item_f001,신장,1895,144.8,147.2,152.0,157.8,163.1,167.96,170.8,157.58,8.1
성장기,M,13,item_f001,신장,4559,149.38,152.58,158.1,163.5,168.5,172.9,175.5,163.12,7.88
성장기,M,14,item_f001,신장,3672,158.3,160.8,165.0,169.3,173.3,177.0,179.5,169.07,6.44
성장기,M,15,item_f001,신장,4104,161.8,164.2,167.7,171.6,175.5,179.0,181.0,171.52,6.0
성장기,M,16,item_f001,신장,4573,163.4,165.4,169.1,173.0,177.0,180.5,182.54,172.98,5.92
성장기,M,17,item_f001,신장,5080,164.0,166.3,169.9,173.5,177.4,181.0,183.0,173.57,5.74
성장기,M,18,item_f001,신장,4093,165.1,167.0,170.3,174.2,178.1,181.6,183.7,174.17,5.77
성장기,M,11,item_f008,악력(우),3350,11.4,12.7,14.9,17.7,20.9,24.1,26.45,18.16,4.68
성장기,M,12,item_f008,악력(우),1895,14.1,16.2,19.2,22.8,27.5,32.1,34.9,23.56,6.33
성장기,M,13,item_f008,악력(우),4541,17.2,19.3,23.4,28.2,33.4,38.9,42.0,28.68,7.55
성장기,M,14,item_f008,악력(우),3669,21.7,24.28,28.6,33.5,38.5,43.7,46.7,33.73,7.67
성장기,M,15,item_f008,악력(우),4093,25.1,27.6,31.9,36.8,41.9,46.9,50.4,37.09,7.79
성장기,M,16,item_f008,악력(우),4565,27.0,29.7,33.9,38.8,44.2,49.3,52.4,39.15,7.76
성장기,M,17,item_f008,악력(우),5074,28.6,31.3,35.7,40.6,45.8,51.0,54.1,40.82,7.78
성장기,M,18,item_f008,악력(우),4091,29.9,32.4,37.2,42.1,47.2,52.1,55.2,42.15,7.79
성장기,M,11,item_f007,악력(좌),3351,10.3,11.7,13.6,16.2,19.3,22.4,24.7,16.74,4.48
성장기,M,12,item_f007,악력(좌),1894,13.1,14.6,17.5,21.0,25.8,29.9,32.33,21.81,5.95
성장기,M,13,item_f007,악력(좌),4544,15.9,17.9,21.6,26.2,31.3,36.1,39.3,26.67,7.13
성장기,M,14,item_f007,악력(좌),3667,20.4,22.6,26.7,31.2,36.0,40.5,43.9,31.47,7.22
성장기,M,15,item_f007,악력(좌),4099,23.4,25.5,29.7,34.2,39.1,43.8,46.9,34.5,7.21
성장기,M,16,item_f007,악력(좌),4564,25.1,27.4,31.4,36.1,40.9,45.57,48.48,36.32,7.26
성장기,M,17,item_f007,악력(좌),5071,26.6,29.3,33.3,37.7,42.4,47.3,50.45,37.97,7.21
성장기,M,18,item_f007,악력(좌),4091,27.4,30.3,34.5,39.3,44.0,48.7,51.7,39.28,7.36
성장기,M,11,item_f012,앉아윗몸앞으로굽히기,3352,-10.0,-6.4,0.0,4.5,9.5,13.3,15.74,4.16,7.63
성장기,M,12,item_f012,앉아윗몸앞으로굽히기,1894,-11.0,-8.0,-1.0,4.5,9.5,13.97,16.87,3.88,8.37
성장기,M,13,item_f012,앉아윗몸앞으로굽히기,4540,-10.0,-6.0,0.3,5.5,10.8,15.8,18.61,5.26,8.44
성장기,M,14,item_f012,앉아윗몸앞으로굽히기,3670,-10.0,-6.0,1.2,7.0,12.8,17.91,20.7,6.57,9.07
성장기,M,15,item_f012,앉아윗몸앞으로굽히기,4094,-10.0,-5.9,2.0,8.2,14.1,19.3,22.2,7.6,9.54
성장기,M,16,item_f012,앉아윗몸앞으로굽히기,4558,-10.0,-5.66,2.0,8.5,15.0,20.6,23.41,8.03,9.97
성장기,M,17,item_f012,앉아윗몸앞으로굽히기,5059,-9.5,-5.0,2.5,9.9,16.0,21.0,24.0,8.83,10.02
성장기,M,18,item_f012,앉아윗몸앞으로굽히기,4088,-8.16,-3.1,4.0,10.8,16.6,21.1,24.0,9.78,9.68
성장기,M,11,item_f022,제자리멀리뛰기,3340,107.0,115.0,131.0,150.0,165.0,180.0,190.0,148.56,25.7
성장기,M,12,item_f022,제자리멀리뛰기,1889,115.0,127.0,145.0,165.0,183.0,200.0,210.0,163.74,28.67
성장기,M,13,item_f022,제자리멀리뛰기,2487,125.0,140.0,157.0,176.0,198.0,212.0,220.0,175.62,29.58
성장기,M,14,item_f022,제자리멀리뛰기,1849,135.0,150.0,170.0,190.0,210.0,225.0,234.6,187.92,30.9
성장기,M,15,item_f022,제자리멀리뛰기,1932,145.0,158.0,180.0,200.0,220.0,235.0,245.0,197.92,30.78
성장기,M,16,item_f022,제자리멀리뛰기,2012,150.0,164.0,185.0,205.0,224.0,240.0,250.0,203.01,31.34
성장기,M,17,item_f022,제자리멀리뛰기,2326,152.0,168.0,190.0,210.0,228.0,244.0,253.0,206.76,31.25
성장기,M,18,item_f022,제자리멀리뛰기,1039,156.0,170.0,190.0,210.0,229.0,246.0,256.1,208.07,30.99
성장기,M,11,item_f002,체중,3354,30.4,32.5,37.4,45.2,54.5,63.2,69.4,46.81,12.23
성장기,M,12,item_f002,체중,1895,35.4,38.2,44.0,52.4,62.9,73.6,79.73,54.38,13.89
성장기,M,13,item_f002,체중,4559,39.3,42.4,48.2,56.5,66.8,78.0,85.7,58.65,14.28
성장기,M,14,item_f002,체중,3672,44.7,47.8,53.3,61.4,73.2,85.79,93.79,64.41,15.03
성장기,M,15,item_f002,체중,4104,48.4,51.2,56.5,64.7,75.6,88.2,96.7,67.48,14.63
성장기,M,16,item_f002,체중,4573,50.2,53.4,59.4,67.2,78.0,91.5,100.84,70.0,14.89
성장기,M,17,item_f002,체중,5080,52.7,55.8,61.5,69.1,79.4,92.3,101.2,71.73,14.26
성장기,M,18,item_f002,체중,4093,54.1,57.5,63.4,71.2,80.4,91.6,99.4,72.97,13.39
성장기,M,13,item_f003,체지방률,4557,8.8,10.5,13.9,20.0,28.8,35.6,39.0,21.73,9.5
성장기,M,14,item_f003,체지방률,3672,9.1,10.5,13.57,18.8,26.92,33.8,37.14,20.71,8.97
성장기,M,15,item_f003,체지방률,4099,9.2,10.7,13.9,18.9,26.4,32.9,36.4,20.51,8.48
성장기,M,16,item_f003,체지방률,4564,9.7,11.2,14.17,19.0,25.8,32.77,36.0,20.57,8.25
성장기,M,17,item_f003,체지방률,5073,9.8,11.2,14.4,19.5,26.3,32.8,36.2,20.91,8.3
성장기,M,18,item_f003,체지방률,4091,9.6,11.1,14.3,19.0,25.0,31.5,34.8,20.24,7.75
어르신,F,65~69,item_f025,2분제자리걷기,3863,73.0,86.0,99.0,110.0,122.5,133.0,141.0,108.99,22.69
어르신,F,70~74,item_f025,2분제자리걷기,3283,61.0,76.0,93.0,106.0,118.0,130.0,136.0,103.47,23.68
어르신,F,75~79,item_f025,2분제자리걷기,2248,42.35,61.0,85.0,100.0,112.0,123.0,129.0,95.29,26.62
어르신,F,80+,item_f025,2분제자리걷기,1469,14.4,27.0,60.0,87.0,103.0,117.0,123.0,79.91,32.78
어르신,F,65~69,item_f026,3m표적돌아오기,4024,4.4,4.62,5.1,5.64,6.37,7.16,7.88,5.86,1.29
어르신,F,70~74,item_f026,3m표적돌아오기,3363,4.64,4.91,5.44,6.12,7.04,8.11,8.94,6.4,1.47
어르신,F,75~79,item_f026,3m표적돌아오기,2288,5.0,5.36,5.98,6.8,8.0,9.58,10.89,7.21,1.88
어르신,F,80+,item_f026,3m표적돌아오기,1501,5.6,6.0,6.88,8.0,9.81,12.13,14.31,8.65,2.58
