연령군,성별,단계,운동명,빈도,비율%
성인,F,준비운동,유산소 운동 전 동적 루틴 스트레칭,4731,8.92
성인,F,준비운동,전신 루틴 스트레칭,4631,8.73
성인,F,준비운동,하지 루틴 스트레칭1,3565,6.72
성인,F,준비운동,상지 루틴 스트레칭,3287,6.2
성인,F,준비운동,목 스트레칭,2229,4.2
성인,F,준비운동,등/어깨 뒤쪽 스트레칭,1909,3.6
성인,F,준비운동,하지 루틴 스트레칭2,1871,3.53
성인,F,준비운동,가슴/어깨 앞쪽 스트레칭,1655,3.12
성인,F,준비운동,걷기,1624,3.06
성인,F,준비운동,허리 스트레칭,1613,3.04
성인,F,준비운동,아래 팔 스트레칭,1289,2.43
성인,F,준비운동,옆구리 스트레칭,1101,2.08
성인,F,준비운동,넙다리 뒤쪽 스트레칭,1084,2.04
성인,F,준비운동,배스트레칭,1078,2.03
성인,F,준비운동,엉덩이 스트레칭,1060,2.0
성인,F,준비운동,자가근막이완술 루틴 스트레칭,1028,1.94
성인,F,준비운동,트레드밀에서 걷기,952,1.8
성인,F,준비운동,실내 자전거타기,850,1.6
성인,F,준비운동,달리기,724,1.37
성인,F,준비운동,넙다리 안쪽 스트레칭,704,1.33
성인,F,준비운동,좌식생활자를 위한 동적 루틴 스트레칭,690,1.3
성인,F,준비운동,넙다리 앞쪽 스트레칭,671,1.27
성인,F,준비운동,앉았다 일어서기,543,1.02
성인,F,준비운동,진자운동,497,0.94
성인,F,준비운동,엎드려 버티기,463,0.87
성인,F,준비운동,동적 스트레칭 루틴프로그램,453,0.85
성인,F,준비운동,옆으로 누워서팔 앞으로 당기기,441,0.83
성인,F,준비운동,윗몸올리기,400,0.75
성인,F,준비운동,테이블 이용하여 팔 들어 올리기,332,0.63
성인,F,준비운동,계단 올라갔다 내려오기,313,0.59
성인,F,준비운동,줄넘기,307,0.58
성인,F,준비운동,정적 스트레칭 루틴프로그램,298,0.56
성인,F,준비운동,한발 앞으로 내밀고 앉았다 일어서기,279,0.53
성인,F,준비운동,수영,252,0.48
성인,F,준비운동,실외 자전거타기,247,0.47
성인,F,준비운동,테이블 이용하여 팔 옆으로 벌리기,210,0.4
성인,F,준비운동,어깨 뒤쪽 스트레칭,209,0.39
성인,F,준비운동,조깅,205,0.39
성인,F,준비운동,작은 공을 이용한 동적 루틴 스트레칭,188,0.35
성인,F,준비운동,팔굽혀펴기,186,0.35
성인,F,준비운동,팔벌려뛰기,184,0.35
성인,F,준비운동,계단 뛰어 오르기,168,0.32
성인,F,준비운동,누워서 다리 들어올리기,162,0.31
성인,F,준비운동,깍지 끼고 상체 숙이기,154,0.29
성인,F,준비운동,누워서 엉덩이 들어올리기,152,0.29
성인,F,준비운동,무릎 높여 제자리 달리기,152,0.29
성인,F,준비운동,옆으로 누워 버티기,151,0.28
성인,F,준비운동,짐볼을 이용한 동적 루틴 스트레칭,150,0.28
성인,F,준비운동,윗몸 말아 올리기,128,0.24
성인,F,준비운동,턱걸이,128,0.24
성인,F,준비운동,맨몸운동 루틴프로그램,123,0.23
성인,F,준비운동,버피운동,121,0.23
성인,F,준비운동,물병 옆으로 들어올리기,121,0.23
성인,F,준비운동,서서 뒤꿈치 들기,120,0.23
성인,F,준비운동,양팔 벌려 전신 비틀기,113,0.21
성인,F,준비운동,손목 펴기/굽히기,112,0.21
성인,F,준비운동,저항밴드 운동 루틴프로그램,109,0.21
성인,F,준비운동,엎드려서 팔 다리 들기,106,0.2
성인,F,준비운동,막대 잡고 팔 안쪽/바깥 돌림,101,0.19
성인,F,준비운동,뒤로 팔굽혀펴기,97,0.18
성인,F,준비운동,네발기기 자세로 팔 다리 들기,93,0.18
성인,F,준비운동,팔꿈치 굽히기,89,0.17
성인,F,준비운동,스텝퍼 뛰어서 오르내리기,88,0.17
성인,F,준비운동,엉덩이 스트레칭2,85,0.16
성인,F,준비운동,덤벨 옆으로 들어올리기,84,0.16
성인,F,준비운동,물속에서 걷기,84,0.16
성인,F,준비운동,뒤꿈치 들기,80,0.15
성인,F,준비운동,팔굽혀 펴기,76,0.14
성인,F,준비운동,스텝퍼 옆으로 뛰어넘기,75,0.14
성인,F,준비운동,누워서 전신 뻗기,72,0.14
성인,F,준비운동,앉아서 다리 밀기,71,0.13
성인,F,준비운동,고정식 트레드밀에서 걷기,69,0.13
성인,F,준비운동,서서 다리 뒤로 차기,68,0.13
성인,F,준비운동,빠르게 걷기,68,0.13
성인,F,준비운동,몸통 옆으로 굽히기,67,0.13
성인,F,준비운동,의자 앞에서 앉았다 일어서기,64,0.12
성인,F,준비운동,몸통 들어올리기,62,0.12
성인,F,준비운동,누워서 배가로근 수축 I,61,0.12
성인,F,준비운동,엎드려서 균형잡기,60,0.11
성인,F,준비운동,앉아서 다리 펴기,60,0.11
성인,F,준비운동,앉았다 일어서면서 점프하기,59,0.11
성인,F,준비운동,누워서 배가로근 수축 II,58,0.11
성인,F,준비운동,팔 벌려 뛰기,58,0.11
성인,F,준비운동,소파를 이용한 윗몸올리기,57,0.11
성인,F,준비운동,네발기기 자세에서 다리 위로 뻗어올리기,56,0.11
성인,F,준비운동,줄넘기 운동,56,0.11
성인,F,준비운동,서서 상체 일으키기,56,0.11
성인,F,준비운동,옆으로 누워 가슴 열기,55,0.1
성인,F,준비운동,앉아서 다리 모으기,54,0.1
성인,F,준비운동,앞굽이 앉았다 일어서기,54,0.1
성인,F,준비운동,바벨 끌어당기기,53,0.1
성인,F,준비운동,의자에 앉아 다리 뻗어 올리기,53,0.1
성인,F,준비운동,사다리 안팎 뛰기,52,0.1
성인,F,준비운동,서서 균형잡기,51,0.1
성인,F,준비운동,밴드 잡고 몸통 옆으로 굽히기,51,0.1
성인,F,준비운동,요가 및 필라테스 루틴프로그램,51,0.1
성인,F,준비운동,앉아서 당겨 내리기,50,0.09
성인,F,준비운동,앉아서 뒤로 당기기,49,0.09
성인,F,준비운동,앉아서 팔꿈치 굽히기/펴기,49,0.09
성인,F,준비운동,가슴 스트레칭,48,0.09
성인,F,준비운동,버피 테스트,48,0.09
성인,F,준비운동,앉아서 밀기,48,0.09
성인,F,준비운동,스텝퍼 뛰어서 넘어가기,47,0.09
성인,F,준비운동,누워서 하늘 자전거,47,0.09
성인,F,준비운동,앉아서 다리 굽히기,46,0.09
성인,F,준비운동,옆으로 펀치하기,46,0.09
성인,F,준비운동,어깨 스트레칭,46,0.09
성인,F,준비운동,폼롤러 밀며 몸 앞으로 숙이기,45,0.08
성인,F,준비운동,윗몸 일으키기,45,0.08
성인,F,준비운동,앉아서 밴드 잡고 몸통 돌리기,44,0.08
성인,F,준비운동,폼롤러 앞으로 굴리기,44,0.08
성인,F,준비운동,자전거타기,43,0.08
성인,F,준비운동,팔 교대로 올리기,43,0.08
성인,F,준비운동,누워서 막대 잡고 팔 들어올리기,43,0.08
성인,F,준비운동,짐볼 윗몸올리기,42,0.08
성인,F,준비운동,옆으로 누워 폼롤러 굴려주기,42,0.08
성인,F,준비운동,스텝퍼 오르내리기,41,0.08
성인,F,준비운동,허리 굽혀 덤벨 뒤로 들기,40,0.08
성인,F,준비운동,의자에 한 다리 올리고 앉앗다 일어서기,39,0.07
성인,F,준비운동,앉아서 엉덩관절 굽히기,38,0.07
성인,F,준비운동,고정식 자전거 타기,38,0.07
성인,F,준비운동,옆구리늘리기,37,0.07
성인,F,준비운동,바벨들어올리기,37,0.07
성인,F,준비운동,한발 들기,37,0.07
성인,F,준비운동,바운딩 운동 루틴프로그램,37,0.07
성인,F,준비운동,누워서 머리 위로 팔꿈치 펴기,37,0.07
성인,F,준비운동,엎드려서 다리 차올리기,36,0.07
성인,F,준비운동,스텝박스,35,0.07
성인,F,준비운동,발 닿기,34,0.06
성인,F,준비운동,덤벨 잡고 앉았다 일어서기,34,0.06
성인,F,준비운동,서서 어깨 들어올리기,33,0.06
성인,F,준비운동,매달려서 다리 들기,33,0.06
성인,F,준비운동,물누르기/올리기,33,0.06
성인,F,준비운동,네발기기 자세에서 손바닥으로 바닥밀기,32,0.06
성인,F,준비운동,몸 기울이기/회전하기,32,0.06
성인,F,준비운동,누워서 팔 다리 동시에 들어올리기,31,0.06
성인,F,준비운동,고양이 자세,31,0.06
성인,F,준비운동,서서 바벨 위로 밀기,31,0.06
성인,F,준비운동,전완대고 버티기,31,0.06
성인,F,준비운동,앉아서 다리 벌리기,30,0.06
성인,F,준비운동,스텝퍼 올라가서 점프하여 착지하기,30,0.06
성인,F,준비운동,서서 탄력밴드 당겨내리기/올리기,29,0.05
성인,F,준비운동,양발 벌려 무릎 밀어내기,29,0.05
성인,F,준비운동,누워서 다리 좌우로 움직이기,28,0.05
성인,F,준비운동,바벨 들어 팔꿈치 굽히기,28,0.05
성인,F,준비운동,스텝박스 오르내리기,28,0.05
성인,F,준비운동,탄력밴드 어깨 가쪽 돌림,27,0.05
성인,F,준비운동,엎드려 팔다리 교차올리기,27,0.05
성인,F,준비운동,웨이트 트레이닝 루틴프로그램,27,0.05
성인,F,준비운동,회전근개 스트레칭,26,0.05
성인,F,준비운동,다리 뻗어 올리기,26,0.05
성인,F,준비운동,누워서 굽힌 다리 펴기,26,0.05
성인,F,준비운동,막대 잡고 대각선으로 팔 들어올리기,26,0.05
성인,F,준비운동,몸통 앞으로 굽혀 걷기,25,0.05
성인,F,준비운동,서서 다리로 탄력밴드 당기기 II,25,0.05
성인,F,준비운동,목 돌림 스트레칭,24,0.05
성인,F,준비운동,허리 굽혀 팔 뒤로 들기,23,0.04
성인,F,준비운동,파워클린,22,0.04
성인,F,준비운동,짝 운동,22,0.04
성인,F,준비운동,발에 밴드걸고 윗몸일으키기,22,0.04
성인,F,준비운동,수건 이용하여 장딴지 늘리기,22,0.04
성인,F,준비운동,몸통 스트레칭,21,0.04
성인,F,준비운동,누워서 수직으로 다리 들어올리기,21,0.04
성인,F,준비운동,발목 돌리기,21,0.04
성인,F,준비운동,손 뻗어 윗몸 일으키기,21,0.04
성인,F,준비운동,아쿠아로빅,21,0.04
성인,F,준비운동,등척성운동-바깥돌림,21,0.04
성인,F,준비운동,밴드 걸고 누워서 다리 들어올리기,20,0.04
성인,F,준비운동,점프 팔굽혀펴기,20,0.04
성인,F,준비운동,누워서 막대 잡고 팔 회전하기,20,0.04
성인,F,준비운동,모관운동,19,0.04
성인,F,준비운동,양팔 크게 벌리기,19,0.04
성인,F,준비운동,사다리 운동 루틴프로그램,19,0.04
성인,F,준비운동,탄력밴드 당기면서 팔 들어올리기,19,0.04
성인,F,준비운동,수건잡고 팔 들어올리기,19,0.04
성인,F,준비운동,짐볼에 엎드려서 팔 다리 들기,18,0.03
성인,F,준비운동,배 스트레칭,18,0.03
성인,F,준비운동,골반 스트레칭,18,0.03
성인,F,준비운동,의자 잡고 한발 들기,18,0.03
성인,F,준비운동,의자 잡고 측면으로 한발 들기,18,0.03
성인,F,준비운동,등척성운동-벌림,18,0.03
성인,F,준비운동,서서 균형잡으며 몸통 회전하기,17,0.03
성인,F,준비운동,척추 스트레칭,17,0.03
성인,F,준비운동,허리 굽혀 덤벨 들기,16,0.03
성인,F,준비운동,어깨 올리기,16,0.03
성인,F,준비운동,엉덩관절 회전하기,16,0.03
성인,F,준비운동,한쪽 다리펴고 상체 숙이기,16,0.03
성인,F,준비운동,의자 잡고 서기,16,0.03
성인,F,준비운동,거북이 스트레칭,16,0.03
성인,F,준비운동,복식호흡,15,0.03
성인,F,준비운동,고정한 상태에서 덤벨 들고 팔꿈치 굽히기,15,0.03
성인,F,준비운동,서서 다리로 탄력밴드 당기기 I,15,0.03
성인,F,준비운동,한 발 뒤로 들어올리기,15,0.03
성인,F,준비운동,런지하며 상체 비틀기,15,0.03
성인,F,준비운동,수동적 관절가동범위 운동,15,0.03
성인,F,준비운동,전사자세,14,0.03
성인,F,준비운동,아기자세,14,0.03
성인,F,준비운동,온 몸 뻗어주기,14,0.03
성인,F,준비운동,박스 운동 루틴프로그램,14,0.03
성인,F,준비운동,누워서 덤벨 들어올리기,14,0.03
성인,F,준비운동,물당기기/밀기,14,0.03
성인,F,준비운동,의자에 앉아 옆구리 숙이기,14,0.03
성인,F,준비운동,누워서 밀기,14,0.03
성인,F,준비운동,대퇴사두근 스트레칭,13,0.02
성인,F,준비운동,누워서 덤벨 모아들기,13,0.02
성인,F,준비운동,팔다리 교차 버티기,13,0.02
성인,F,준비운동,벽에서 팔굽혀 펴기,13,0.02
성인,F,준비운동,발등굽힘/발바닥굽힘,13,0.02
성인,F,준비운동,등척성운동-안쪽 돌림,13,0.02
성인,F,준비운동,흔들어 체조,13,0.02
성인,F,준비운동,한발 서서 균형잡기,12,0.02
성인,F,준비운동,다리굽혀 허리 비틀기,11,0.02
성인,F,준비운동,왜가리 자세,11,0.02
성인,F,준비운동,어깨 양 옆으로 돌리기,11,0.02
성인,F,준비운동,짐볼에서 윗몸 일으키기,11,0.02
성인,F,준비운동,허리숙여 양팔 돌리기,11,0.02
성인,F,준비운동,옆으로 걷기,11,0.02
성인,F,준비운동,비복근 스트레칭,10,0.02
성인,F,준비운동,사다리 좌우 뛰기,10,0.02
성인,F,준비운동,뛰어 내렸다가 바로 점프하기,10,0.02
성인,F,준비운동,한 발 뒤로 빼고 앞으로 굽히기,10,0.02
성인,F,준비운동,몸 앞으로 굽히기,9,0.02
성인,F,준비운동,목 굽힘/ 폄 I,9,0.02
성인,F,준비운동,몸통 비틀기,9,0.02
성인,F,준비운동,목 돌리기,9,0.02
성인,F,준비운동,엎드려 한발 원 그리기,9,0.02
성인,F,준비운동,발 바꿔 뛰기,9,0.02
성인,F,준비운동,팔꿈치 원 그리기,9,0.02
성인,F,준비운동,다리 벌려 앞으로 상체 숙이기,9,0.02
성인,F,준비운동,한 발 앞굽이 팔 위로 뻗어 가슴 내밀기,9,0.02
성인,F,준비운동,발 끝 당기기,8,0.02
성인,F,준비운동,골반 스트레칭2,8,0.02
성인,F,준비운동,엎드려서 다리 굽히기,8,0.02
성인,F,준비운동,목 당기기,8,0.02
성인,F,준비운동,밴드 걸고 옆으로 누워 다리 올리기,8,0.02
성인,F,준비운동,짐볼에 엎드려서 몸통 젖히기,8,0.02
성인,F,준비운동,엎드려 무릎 연속 차기,8,0.02
성인,F,준비운동,굽힘 밸런스운동-60~120도 사이,8,0.02
성인,F,준비운동,벌림 밸런스 운동-60~120도 사이,8,0.02
성인,F,준비운동,팔꿈치 맞닿아 원그리기,7,0.01
성인,F,준비운동,계단 두발 뛰기,7,0.01
성인,F,준비운동,어깨 누르기,7,0.01
성인,F,준비운동,엉덩이 늘리기,7,0.01
성인,F,준비운동,누워서 공들고 몸 기울이기,7,0.01
성인,F,준비운동,비스듬히 누워서 밀기,7,0.01
성인,F,준비운동,거꾸로 누워서 밀기,7,0.01
성인,F,준비운동,짐볼 앉아 중심 잡기 루틴 운동,7,0.01
성인,F,준비운동,밴드 머리 뒤로 들어올리기,7,0.01
성인,F,준비운동,서서 발목 누르기,7,0.01
성인,F,준비운동,한발 연속 뛰기,7,0.01
성인,F,준비운동,전신 비틀며 전진하기,7,0.01
성인,F,준비운동,앉아 윗몸 앞으로 굽히기,7,0.01
성인,F,준비운동,팔굽혀펴기(무릎대고 실시),7,0.01
성인,F,준비운동,척추 들어올리기,7,0.01
성인,F,준비운동,후굴자세 해봐요,7,0.01
성인,F,준비운동,내전근 스트레칭,6,0.01
성인,F,준비운동,원판던지기,6,0.01
성인,F,준비운동,누워서 팔 밀기,6,0.01
성인,F,준비운동,V자 싸이클,6,0.01
성인,F,준비운동,대퇴이두근 스트레칭,6,0.01
성인,F,준비운동,계단 두 칸씩 뛰기,6,0.01
성인,F,준비운동,누워 다리 들어올리기,6,0.01
성인,F,준비운동,팔 들어 올리며 런지,6,0.01
성인,F,준비운동,대퇴이두근 스트레칭2,6,0.01
성인,F,준비운동,연속 사이드 스쿼드,6,0.01
성인,F,준비운동,윗몸말아올리기,6,0.01
성인,F,준비운동,밴드잡고 머리 위에서 팔꿈치 펴기,6,0.01
성인,F,준비운동,가슴/어깨 스트레칭,5,0.01
성인,F,준비운동,합장하여 앞으로 숙이기,5,0.01
성인,F,준비운동,크런치 사이클,5,0.01
성인,F,준비운동,짐볼 운동 루틴프로그램,5,0.01
성인,F,준비운동,앉아서 몸통 움츠리기,5,0.01
성인,F,준비운동,전신 틀어 손벽 마주치기,5,0.01
성인,F,준비운동,매달려서 뒤로 팔굽혀 펴기,5,0.01
성인,F,준비운동,양발 모아 좌우 뛰기,5,0.01
성인,F,준비운동,네발 걷기,5,0.01
성인,F,준비운동,한 발 무릎위 올려차기,5,0.01
성인,F,준비운동,아령 뒤로 들어올리기,5,0.01
성인,F,준비운동,점핑점핑해요,5,0.01
성인,F,준비운동,꼬리를 떼어요,5,0.01
성인,F,준비운동,짝 스트레칭 루틴프로그램,4,0.01
성인,F,준비운동,다리들어 옆으로 올리기,4,0.01
성인,F,준비운동,무릎굽혀 원 그리기,4,0.01
성인,F,준비운동,아쿠아로빅 운동 프로그램 루틴,4,0.01
성인,F,준비운동,사다리 옆으로 발 옮기기,4,0.01
성인,F,준비운동,제자리 뛰기,4,0.01
성인,F,준비운동,다리 모았다 벌려 뛰기,4,0.01
성인,F,준비운동,전진 점프하며 발 뒤꿈치 찍기,4,0.01
성인,F,준비운동,무릎 아래에서 양옆으로 굴리기,4,0.01
성인,F,준비운동,박스 옆으로 번갈아 뛰기,4,0.01
성인,F,준비운동,나란히 서서 손잡고 끌어당기기,3,0.01
성인,F,준비운동,상체 앞으로 숙이기,3,0.01
성인,F,준비운동,무릎 들어올리기,3,0.01
성인,F,준비운동,옆으로 팔 벌리며 점프하기,3,0.01
성인,F,준비운동,콘운동 루틴프로그램,3,0.01
성인,F,준비운동,계단 한발 뛰기,3,0.01
성인,F,준비운동,사다리 이용 루틴 운동,3,0.01
성인,F,준비운동,서서 다리로 탄력밴드 당겨 중심 잡기 루틴 운동,3,0.01
성인,F,준비운동,엎드려 상체 들어올리기,3,0.01
성인,F,준비운동,균형 걷기,3,0.01
성인,F,준비운동,베개 밟고 서기,3,0.01
성인,F,준비운동,뒤꿈치 높이들어 뛰기,3,0.01
성인,F,준비운동,줄넘기 해요,3,0.01
성인,F,준비운동,빌리보를 밀어요,3,0.01
성인,F,준비운동,밴드를 당겨요,3,0.01
성인,F,준비운동,발가락 폄근 스트레칭,2,0.0
성인,F,준비운동,등 대고 대퇴이두근 스트레칭,2,0.0
성인,F,준비운동,좌 우 회전(목 좌 우 회전),2,0.0
성인,F,준비운동,시소우,2,0.0
성인,F,준비운동,마주보고 상체 좌우 비틀기,2,0.0
성인,F,준비운동,짐볼에 다리 올리고 엉덩이 들어올리기,2,0.0
성인,F,준비운동,누워 한발 원 그리기,2,0.0
성인,F,준비운동,깍지끼고 목 들어올리기,2,0.0
성인,F,준비운동,목 굽힘/ 폄 II,2,0.0
성인,F,준비운동,목 굽힘/ 폄 III,2,0.0
성인,F,준비운동,덤벨 잡고 뒤꿈치 들기,2,0.0
성인,F,준비운동,의자에 앉아 등 굽혔다 펴기,2,0.0
성인,F,준비운동,의자에 앉아 가슴 뒤로 젖히기,2,0.0
성인,F,준비운동,밴드 걸고 앉아서 발등 굽힘,2,0.0
성인,F,준비운동,앉았다 일어나며 점프하기,2,0.0
성인,F,준비운동,점프 후 버티기,2,0.0
성인,F,준비운동,다리모아 무릎 누르기,2,0.0
성인,F,준비운동,누워 발목 당겨주기,2,0.0
성인,F,준비운동,서서 발목 뒤로 당기기,2,0.0
성인,F,준비운동,아쿠아로빅-물당기기/밀기,2,0.0
성인,F,준비운동,아쿠아로빅-옆구리 늘리기,2,0.0
성인,F,준비운동,플렉스 바 비틀기,2,0.0
성인,F,준비운동,발목 얹고 다리 잡아당기기,2,0.0
성인,F,준비운동,다리 모아 뒤로 눕기,2,0.0
성인,F,준비운동,메디신 볼 잡고 런지하며 상체비틀기,2,0.0
성인,F,준비운동,메디신볼 운동 루틴프로그램,2,0.0
성인,F,준비운동,무릎 높이 들어 뛰기,2,0.0
성인,F,준비운동,점프하며 뛰기,2,0.0
성인,F,준비운동,빠르게 무릎 올려 찍기,2,0.0
성인,F,준비운동,전진 점프하며 발바닥 찍기,2,0.0
성인,F,준비운동,팔 돌리며 점프하기,2,0.0
성인,F,준비운동,다리 들어올리기,2,0.0
성인,F,준비운동,무릎 굽혀 엉덩이 들어올리기,2,0.0
성인,F,준비운동,반복 옆뛰기,2,0.0
성인,F,준비운동,다리 벌려 옆으로 상체 숙이기,2,0.0
성인,F,준비운동,발바닥 마주대고 끌어당기기,2,0.0
성인,F,준비운동,무릎 굽혀 가슴 닿기,2,0.0
성인,F,준비운동,낚시를 해요,2,0.0
성인,F,준비운동,알록달록 붙여요,2,0.0
성인,F,준비운동,공을 옮겨요(옆),2,0.0
성인,F,준비운동,알록달록 공을 옮겨요,2,0.0
성인,F,준비운동,좌 우 굴곡(목 좌 우 굴곡),1,0.0
성인,F,준비운동,앞 뒤 굴곡(목 앞 뒤 굴곡),1,0.0
성인,F,준비운동,겨드랑이 늘리기,1,0.0
성인,F,준비운동,누워 무릎 기울기,1,0.0
성인,F,준비운동,회전근개 스트레칭2,1,0.0
성인,F,준비운동,고관절 스트레칭,1,0.0
성인,F,준비운동,나무자세,1,0.0
성인,F,준비운동,소머리 자세,1,0.0
성인,F,준비운동,앞굽이 뛰기,1,0.0
성인,F,준비운동,종아리 스트레칭,1,0.0
성인,F,준비운동,볼 위에 앉아 밴드 양옆으로 당기기,1,0.0
성인,F,준비운동,의자에 앉아 가슴 몸통 말아주기,1,0.0
성인,F,준비운동,한 발 들어올리기,1,0.0
성인,F,준비운동,웅크리고 앉아 손잡고 상체 숙이기,1,0.0
성인,F,준비운동,양발 교차하여 서서 몸통 숙이기,1,0.0
성인,F,준비운동,밴드 걸고 엎드려서 다리 구부리기,1,0.0
성인,F,준비운동,탄력밴드 측면으로 당기기,1,0.0
성인,F,준비운동,탄력밴드 무릎으로 당기기,1,0.0
성인,F,준비운동,양발 나란히 서기,1,0.0
성인,F,준비운동,좌우 찍기,1,0.0
성인,F,준비운동,의자 잡고 후방으로 한발 뻗어 들기,1,0.0
성인,F,준비운동,앉아서 모으기,1,0.0
성인,F,준비운동,마주보고 종아리 펴기,1,0.0
성인,F,준비운동,전후 교차 뛰기,1,0.0
성인,F,준비운동,사이드 지그재그 뛰기,1,0.0
성인,F,준비운동,제자리 멀리 뛰기,1,0.0
성인,F,준비운동,다리 뻗어 점프하기,1,0.0
성인,F,준비운동,좌우 이동하며 팔굽혀펴기,1,0.0
성인,F,준비운동,의자에 앉아 물병 들고 몸통 돌리기,1,0.0
성인,F,준비운동,계단 오르기,1,0.0
성인,F,준비운동,메디신 볼 잡고 팔굽혀펴기,1,0.0
성인,F,준비운동,짐볼 배에 대고 버티기,1,0.0
성인,F,준비운동,짐볼 윗몸일으키기,1,0.0
성인,F,준비운동,물병 들고 한발 앞으로 내밀고 앉았다 일어서기,1,0.0
성인,F,준비운동,짐볼 들고 양옆으로 돌리기,1,0.0
성인,F,준비운동,의자에 앉아 볼 돌리기,1,0.0
성인,F,준비운동,발로 공주고 받기,1,0.0
성인,F,준비운동,머리 위로 공 넘기기,1,0.0
성인,F,준비운동,의자 앉아 공 밀기,1,0.0
성인,F,준비운동,바벨 당겨 올리기,1,0.0
성인,F,준비운동,상체 감아올리기,1,0.0
성인,F,준비운동,옆으로 누워 무릎 벌리기,1,0.0
성인,F,준비운동,풍선 튕기기,1,0.0
성인,F,준비운동,두발모아 걷기,1,0.0
성인,F,준비운동,좌우 양발모아 점프하기,1,0.0
성인,F,준비운동,엎드려 다리 들어올리기,1,0.0
성인,F,준비운동,앞으로 나가며 앉았다 일어서기,1,0.0
성인,F,준비운동,2단 줄넘기,1,0.0
성인,F,준비운동,빠른 발 뛰기,1,0.0
성인,F,준비운동,잔발치기,1,0.0
성인,F,준비운동,벽잡고 빨리 뛰기,1,0.0
성인,F,준비운동,엎드려 팔 대고 버티기,1,0.0
성인,F,준비운동,엎드려 어깨 늘리기,1,0.0
성인,F,준비운동,앉아서 옆구리 늘려주기,1,0.0
성인,F,준비운동,앉아서 한 발 앞으로 굽히기,1,0.0
성인,F,준비운동,다리 모아 상체 숙이기,1,0.0
성인,F,준비운동,앉아서 덤벨로 손목 굽히기,1,0.0
성인,F,준비운동,앉아서 상체 앞 옆으로 기울기,1,0.0
성인,F,준비운동,나비자세,1,0.0
성인,F,준비운동,목봉잡고 앉았다 일어나기,1,0.0
성인,F,준비운동,동물처럼 걸어요,1,0.0
성인,F,준비운동,의자 잡고 팔 뒤로 굽히기,1,0.0
성인,F,준비운동,밴드 앞 옆으로 들어올리기,1,0.0
성인,F,준비운동,밴드 어깨 뒤로 들어올리기,1,0.0
성인,F,준비운동,밴드 앞으로 당기기,1,0.0
성인,F,준비운동,영차영차 올라요,1,0.0
성인,F,준비운동,알을 낳아요,1,0.0
성인,F,준비운동,마주 앉아 대퇴이두근 스트레칭,1,0.0
성인,F,준비운동,후다닥 집어요,1,0.0
성인,F,준비운동,공 받고 던져요,1,0.0
성인,F,본운동,앉았다 일어서기,5800,4.26
성인,F,본운동,엎드려 버티기,5614,4.12
성인,F,본운동,달리기,5150,3.78
성인,F,본운동,실내 자전거타기,5039,3.7
성인,F,본운동,윗몸올리기,4867,3.57
성인,F,본운동,수영,3921,2.88
성인,F,본운동,트레드밀에서 걷기,3510,2.58
성인,F,본운동,한발 앞으로 내밀고 앉았다 일어서기,3208,2.36
성인,F,본운동,팔굽혀펴기,3123,2.29
성인,F,본운동,누워서 엉덩이 들어올리기,3038,2.23
성인,F,본운동,계단 올라갔다 내려오기,3020,2.22
성인,F,본운동,줄넘기,2816,2.07
성인,F,본운동,누워서 다리 들어올리기,2276,1.67
성인,F,본운동,버피운동,2076,1.52
성인,F,본운동,엎드려서 팔 다리 들기,1947,1.43
성인,F,본운동,옆으로 누워 버티기,1779,1.31
성인,F,본운동,실외 자전거타기,1704,1.25
성인,F,본운동,윗몸 말아 올리기,1667,1.22
성인,F,본운동,넙다리 뒤쪽 스트레칭,1605,1.18
성인,F,본운동,네발기기 자세로 팔 다리 들기,1592,1.17
성인,F,본운동,허리 스트레칭,1407,1.03
성인,F,본운동,팔벌려뛰기,1347,0.99
성인,F,본운동,걷기,1297,0.95
성인,F,본운동,배스트레칭,1263,0.93
성인,F,본운동,무릎 높여 제자리 달리기,1207,0.89
성인,F,본운동,팔꿈치 굽히기,1186,0.87
성인,F,본운동,엉덩이 스트레칭,1176,0.86
성인,F,본운동,앉아서 당겨 내리기,1154,0.85
성인,F,본운동,넙다리 안쪽 스트레칭,1150,0.84
성인,F,본운동,서서 뒤꿈치 들기,1148,0.84
성인,F,본운동,계단 뛰어 오르기,1148,0.84
성인,F,본운동,소파를 이용한 윗몸올리기,1052,0.77
성인,F,본운동,목 스트레칭,1046,0.77
성인,F,본운동,옆구리 스트레칭,1039,0.76
성인,F,본운동,물병 옆으로 들어올리기,1037,0.76
성인,F,본운동,뒤로 팔굽혀펴기,1017,0.75
성인,F,본운동,전신 루틴 스트레칭,1008,0.74
성인,F,본운동,하지 루틴 스트레칭2,994,0.73
성인,F,본운동,서서 상체 일으키기,989,0.73
성인,F,본운동,앉아서 다리 펴기,988,0.73
성인,F,본운동,앉아서 다리 밀기,983,0.72
성인,F,본운동,누워서 하늘 자전거,952,0.7
성인,F,본운동,하지 루틴 스트레칭1,929,0.68
성인,F,본운동,턱걸이,926,0.68
성인,F,본운동,의자 앞에서 앉았다 일어서기,924,0.68
성인,F,본운동,허리 굽혀 팔 뒤로 들기,907,0.67
성인,F,본운동,넙다리 앞쪽 스트레칭,887,0.65
성인,F,본운동,몸통 들어올리기,882,0.65
성인,F,본운동,누워서 배가로근 수축 II,878,0.64
